"Your Kindle Notes For:",,,
"EIN TOR ZU EURER WELT: WIE ICH ALS AUTIST MEINE GEFÜHLE LIEBEN LERNTE - MIT EINEM VORWORT VON TONY ATTWOOD (GERMAN EDITION)",,,
"by Aaron Wahl",,,
"Free Kindle instant preview:",,,
"https://a.co/giBYSam",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 172","","Das war für mich, der ich gar nicht anders konnte, als unverblümt zu sagen, was er dachte, ein Problem, auch wenn ich es nicht konkret hätte benennen können."
"Highlight (Yellow)","Location 177","","Zuneigung"
"Highlight (Yellow)","Location 183","","Diese Reaktion ist bezeichnend für die grundlegenden Missverständnisse zwischen mir und der »normalen« Welt, denn auch wenn ich mich nicht mehr genau an den Moment erinnern kann, in dem das Faschingsfoto entstand, bin ich sicher, dass ich nicht unglücklich war."
"Highlight (Yellow)","Location 188","","Ich verstehe bis heute nicht, wozu Kostüme gut sein sollen."
"Highlight (Yellow)","Location 188","","Wenn ich in einem Online-Spiel in eine Rolle schlüpfe, um in einer Fantasy-Welt mit einer vorgegebenen Handlung bestimmte Aufgaben zu lösen, ist das für mich logisch und nachvollziehbar, aber warum sollte ich in der realen Welt etwas darstellen wollen, was ich nicht bin?"
"Highlight (Yellow)","Location 199","","Für mich war die Frage »Wie geht’s?« seit jeher ein Anlass für Verwirrung."
"Highlight (Yellow)","Location 200","","Ich kann mich an zahllose Situationen erinnern, als mir diese Frage gestellt wurde und ich noch während des Versuchs einer Antwort anhand der Reaktion meines Gegenübers feststellte, dass eigentlich gar keine Antwort erwünscht war."
"Highlight (Yellow)","Location 203","","Ich musste erst begreifen, dass ein oberflächliches »Wie geht’s?« in der Regel keine ernst gemeinte Frage ist, sondern eine sinnleere formale Phrase. Die Leute wollen nicht wirklich wissen, wie es einem geht, sie wollen nur höflich sein. Deshalb erwarten sie, dass man ebenfalls höflich ist, also mit »gut« antwortet, auch wenn es einem dreckig geht."
"Highlight (Yellow)","Location 212","","Ich musste zum Haareschneiden. Ich gehe seit Jahren zum selben Friseur, vielleicht ist auch das autismusbedingt, da es ja heißt, Autisten täten sich schwer mit Veränderungen."
"Highlight (Yellow)","Location 215","","Als ich diesmal ankam, wurde mir mitgeteilt, dass der Chef kurzfristig erkrankt sei und deshalb eine Kollegin meinen Termin übernähme."
"Highlight (Yellow)","Location 229","","»Witzig, dass dir das aufgefallen ist«, schrieb sie, aber sonst sei alles in Ordnung."
"Highlight (Yellow)","Location 229","","Ich las diese Mail immer wieder. Sie war nicht die Antwort, die zu der tiefen Traurigkeit passte, die ich empfunden hatte, während ich auf dem Friseurstuhl saß. Lieber wäre mir gewesen, die Frau hätte sich mir anvertraut"
"Highlight (Yellow)","Location 231","","Mir ist aber auch durchaus klar, dass das nicht realistisch ist."
"Highlight (Yellow)","Location 239","","Die Antwort waren ein Stirnrunzeln und ein zickiges »Wieso?«. Ich versuchte zu erklären, dass ich ihr ansehen konnte, dass sie traurig war, doch Melanie schüttelte vehement den Kopf und beteuerte: »Das bildest du dir ein. Alles gut, kein Problem.«"
"Highlight (Yellow)","Location 243","","Ich war viel zu sehr damit beschäftigt, an meiner eigenen Wahrnehmung zu zweifeln. Wie konnte es sein, dass ich mir so sicher gewesen war, dass es Melanie nicht gut ging, sie es aber standhaft bestritt?"
"Highlight (Yellow)","Location 244","","infrage"
"Highlight (Yellow)","Location 245","","unaufhörlich"
"Highlight (Yellow)","Location 250","","Das Erlebnis mit Melanie steht stellvertretend für eine Reihe von ähnlichen Erfahrungen, die ich im Laufe meiner Kindheit gemacht habe und die verschiedene Auswirkungen auf mich hatten."
"Highlight (Yellow)","Location 251","","Erstens: Ich merkte, dass mein Verhalten unpassend war, wusste aber nicht so richtig, warum. Deshalb versuchte ich mich möglichst gar nicht mehr zu »verhalten«, sprich unauffällig zu sein und nicht anzuecken."
"Highlight (Yellow)","Location 261","","Es ist bezeichnend für autistische Wahrnehmung und autistisches Verhalten, dass ich nicht den einfachen Weg ging. Dass ich nicht das Verhalten anderer imitierte, um ihnen zu gefallen. Dass ich mich nicht verstellte, um Beifall zu bekommen. Dass ich nie vorgab, etwas gut zu finden, obwohl ich es eigentlich nicht mochte. Es hatte nichts mit mangelndem Anstand zu tun, dass ich es nicht tat, ich kam schlicht gar nicht auf die Idee."
"Highlight (Yellow)","Location 266","","Dass sie logen, um sich nicht durch eine unpopuläre Meinung oder Aussage lächerlich zu machen."
"Highlight (Yellow)","Location 267","","Kurzum: dass sie ständig andere und oft auch sich selbst manipulierten."
"Highlight (Yellow)","Location 267","","Für mich ist das unlogisch. Und weil es unlogisch ist, würde es für mich unermesslich viel Denkaufwand bedeuten, mich diesem Verhalten anzupassen."
"Highlight (Yellow)","Location 268","","Es ist nicht so, dass Autisten nicht lügen können. Sie können es. Oder zumindest ich kann es. Aber es ist so anstrengend, dass ich daran kaputtgehen würde, wenn ich es öfter täte."
"Highlight (Yellow)","Location 271","","Ähnlich wie eine Dressur. Das Kind wird darauf gedrillt, sich »normal« zu verhalten. Den Eltern wird das dann so verkauft, als ob das Kind dadurch weniger autistisch wäre, aber für das Kind ist es eine Zwangsjacke aus Verhaltensverboten."
"Highlight (Yellow)","Location 273","","ABA ist einer der wenigen Gründe, warum ich dankbar bin, dass meine Asperger-Diagnose erst sehr spät gestellt wurde. Hätte ich sie schon in der Kindheit bekommen, hätten mich meine Eltern garantiert zu einem ABA-Experten geschickt. Mir mein unpassendes Verhalten abzugewöhnen war ja in gewisser Weise ihr höchstes Ziel."
"Highlight (Yellow)","Location 279","","Es hatte eine Feier gegeben, bei der deine Mitschüler versucht hatten, dich auf die Tanzfläche zu zerren. Da bist du panisch weggelaufen."
"Highlight (Yellow)","Location 283","","Nach der Geburt hattest du eine Hirnblutung und ein schweres Atemnotsyndrom."
"Highlight (Yellow)","Location 284","","Es hat Tage gedauert, bis du über den Berg warst. Komischerweise hatte ich in dieser Zeit keine Angst."
"Highlight (Yellow)","Location 286","","Wir mussten immer wieder zu Untersuchungen deiner Motorik und Sensorik."
"Highlight (Yellow)","Location 287","","Für einen Säugling wie dich war all das sehr anstrengend."
"Highlight (Yellow)","Location 289","","In der Humangenetik hingegen meinten sie, es sei alles normal."
"Highlight (Yellow)","Location 290","","war. Keinem war damit geholfen, sich die Dinge schönzureden. Dir am allerwenigsten."
"Highlight (Yellow)","Location 291","","Als du später im Kleinkindalter warst, habe ich irgendwann einmal zu deinem Vater gesagt: »Der Junge hat doch autistische Züge.«"
"Highlight (Yellow)","Location 292","","Wir hatten als Lehrer ja beide autistische Kinder unterrichtet, allerdings war der Kontext ein anderer: Wir arbeiteten an einer Sonderschule für verhaltensauffällige Kinder aus sozialen Brennpunkten."
"Highlight (Yellow)","Location 296","","Heute ist für mich vieles schlüssig."
"Highlight (Yellow)","Location 297","","Überempfindlichkeit"
"Highlight (Yellow)","Location 298","","Hinzu kam deine absolute Lärmempfindlichkeit!"
"Highlight (Yellow)","Location 300","","Das Knirschen, wenn man über Schnee lief, hat dich fertiggemacht."
"Highlight (Yellow)","Location 301","","Du warst schon sehr eigenwillig, aber auch ein ganz schöner Chaot."
"Highlight (Yellow)","Location 318","","Als ich acht war, trennten sich meine Eltern, und er zog aus."
"Highlight (Yellow)","Location 319","","die er fortan in den Sommerferien mit uns unternahm und die ich allesamt schrecklich fand."
"Highlight (Yellow)","Location 321","","Für mich ist mein Vater eine Figur, die irgendwie immer präsent, aber nie wirklich anwesend war."
"Highlight (Yellow)","Location 322","","Die wenigen Gelegenheiten, bei denen er sich durch erinnerungswürdige Handlungen hervortat, waren meist negativ. Womit wir auch schon beim Überreagieren wären."
"Highlight (Yellow)","Location 324","","verbieten"
"Highlight (Yellow)","Location 327","","Sein Verhalten war immer unverhältnismäßig und anmaßend."
"Highlight (Yellow)","Location 327","","Auf der einen Seite hatte er nur seine Arbeit im Kopf und kümmerte sich kaum um uns, aber wenn er es auf der anderen Seite dann doch tat, holte er immer gleich zur ganz großen Geste aus."
"Highlight (Yellow)","Location 333","","Er meinte, ich sei unzuverlässig und faul, und nannte es eine furchtbare Enttäuschung, dass ich mich nicht an meine Versprechen halten würde."
"Highlight (Yellow)","Location 335","","Ich listete darin alle möglichen Punkte auf, bei denen er es war, der mich furchtbar enttäuscht hatte: die zahlreichen Male, als ich bei Schulveranstaltungen vergeblich auf ihn gewartet habe, weil er trotz Versprechens am Ende doch etwas Wichtigeres zu tun hatte, als vorbeizukommen; die mangelnde Geduld, die er in Situationen wie der Bestrafung für die vergessene Sandale bewies; die Herzlosigkeit, die die Aufforderung an meine Mutter, mich rauszuschmeißen, durchblicken ließ; die Unfähigkeit, mich einfach so handeln und leben zu lassen, wie ich es wollte"
"Highlight (Yellow)","Location 339","","Es war eine wirklich lange E-Mail, vielleicht die längste, die ich je verfasst habe."
"Highlight (Yellow)","Location 342","","futsch."
"Highlight (Yellow)","Location 346","","mütterlicherseits."
"Highlight (Yellow)","Location 346","","Die Eltern meines Vaters waren bereits vor meiner Geburt gestorben."
"Highlight (Yellow)","Location 346","","Das Verhältnis zu den Eltern meiner Mutter war dafür umso inniger. Besonders mein Großvater hatte eine enorme Wirkung auf mich."
"Highlight (Yellow)","Location 355","","Mit der Kirche habe ich nichts am Hut."
"Highlight (Yellow)","Location 361","","Mit ihm konnte man auch mal schweigen. Das mochte ich besonders an ihm."
"Highlight (Yellow)","Location 373","","Ob das funktioniert hätte? Ich habe es nie ausprobiert."
"Highlight (Yellow)","Location 376","","wellenförmige Muster hatte, die sich permanent wiederholten. Ich habe mich immer gefragt, wie die Teppichknüpfer es schafften, das gleiche Muster immer und immer wieder so exakt zu knüpfen. Dass das bei Teppichen üblich ist und mit bestimmten Webtechniken zu tun hat, wusste ich damals noch nicht. Am Ende des Flurs befand sich die Küche."
"Highlight (Yellow)","Location 391","","Trauer ist eine der intensivsten Emotionen. Sie ist sehr mächtig. Man sollte sie nicht mit Traurigsein verwechseln."
"Highlight (Yellow)","Location 397","","Riesenuhrwerk,"
"Highlight (Yellow)","Location 405","","Deshalb mochte ich ihn nicht besonders. Aber an diesem Nachmittag war es lustig mit ihm. Wir spielten Halli Galli. Ich mochte das Spiel, weil es logisch nachvollziehbare Regeln hatte, es gab ein klar definiertes Ende, und es dauerte nicht zu lange. Außerdem war es eine gute Ablenkung vom Alltag."
"Highlight (Yellow)","Location 415","","Davon erzählte ich Markus. Er meinte, ich solle Mareike einen Brief schreiben."
"Highlight (Yellow)","Location 419","","So viel zum Vorurteil, Autisten könnten nicht lügen."
"Highlight (Yellow)","Location 420","","In der Hecke gefunden hat sie ihn offenbar auch nicht. Bei meiner Geburtstagsfeier war sie jedenfalls nicht."
"Highlight (Yellow)","Location 421","","Ob ich das bedauerte, weiß ich nicht mehr."
"Highlight (Yellow)","Location 422","","Meist stand ich am Rand und sah den anderen beim Spielen zu. Für mich war das in Ordnung, aber für die Erwachsenen nicht. Die versuchten immer, mich zum Mitmachen zu animieren."
"Highlight (Yellow)","Location 425","","ruhig, verständnisvoll, ohne pädagogischen Übereifer. Vor allem aber schien er zu begreifen, wie ich tickte."
"Highlight (Yellow)","Location 434","","Ich glaube sogar, diese Urkunde bekamen alle Kinder aus unserer Klasse."
"Highlight (Yellow)","Location 438","","Solange sich Leute so verhalten, kleiden und artikulieren wie sie selbst, ist alles in Ordnung, aber sobald sie davon abweichen, sind sie »verkorkst«."
"Highlight (Yellow)","Location 439","","Ich weiß inzwischen, dass die Abgrenzung, die ein solches Schubladendenken mit sich bringt, Zusammengehörigkeitsgefühle fördert."
"Highlight (Yellow)","Location 444","","Dass das auch ein Vorteil sein kann, weil man weniger korrumpierbar, manipulierbar und voreingenommen ist, war mir damals noch nicht klar. Ich könnte mir vorstellen, dass Herr Busch dieses Potenzial erkannte."
"Highlight (Yellow)","Location 457","","Weil sie gerne spazieren gingen, parkten sie das Auto ein Stück weit vom Laden entfernt, um das letzte Stück des Weges zu Fuß zurückzulegen."
"Highlight (Yellow)","Location 463","","Später kam heraus, dass er Anwalt für Verkehrsdelikte war und 2,1 Promille Alkohol im Blut hatte."
"Highlight (Yellow)","Location 466","","Kreuzbeinbruch,"
"Highlight (Yellow)","Location 475","","Dieser Satz macht mich immer noch wütend. Ich habe ihn nie akzeptiert. Warum hätte der Anblick eines schwer verletzten Menschen meine guten Erinnerungen an ihn beeinträchtigen sollen?"
"Highlight (Yellow)","Location 477","","Warum wurde einem »unbeschädigten« Idealbild mehr Bedeutung beigemessen als meinem Bedürfnis, mich von meinem geliebten Großvater zu verabschieden?"
"Highlight (Yellow)","Location 485","","Ein verschlossener Sarg. Genauso verschlossen wie mein emotionaler Zugang zu alledem, was wir dort taten. Die Situation war völlig surreal."
"Highlight (Yellow)","Location 486","","Wir saßen auf Holzbänken in der Martinskirche, in der mein Großvater früher Pastor gewesen war, bei einem Ritual, das einen Abschied ersetzen sollte, der mir zuvor verwehrt worden war."
"Highlight (Yellow)","Location 487","","Viele Leute schluchzten."
"Highlight (Yellow)","Location 488","","Ich saß einfach nur dort und sah fasziniert zu, wie die Leute weinten. Genauso ging es mir bei der Beisetzung, die ein paar Tage später auf Amrum stattfand. Dort warf ich den besagten Brief mit ins Grab."
"Highlight (Yellow)","Location 490","","Auch so eine Floskel, die weder dem Anlass noch dem Schmerz gerecht wurde, den ich innerlich empfand. Der mit Sicherheit größer war als bei vielen der weinenden Menschen in der Kirche."
"Highlight (Yellow)","Location 494","","Direkt nach der Beerdigung fing ich an, aus der Schule wegzulaufen und den Unterricht zu schwänzen."
"Highlight (Yellow)","Location 494","","Meine Noten wurden schlecht, ich nahm zu und wurde schließlich krank."
"Highlight (Yellow)","Location 495","","Luftkurort"
"Highlight (Yellow)","Location 496","","gesundheitlich"
"Highlight (Yellow)","Location 498","","verprügelte. Ich erinnere mich aber nicht daran."
"Highlight (Yellow)","Location 498","","Auch nach der Kur blieben meine Noten schlecht. Deshalb bekam ich im Gegensatz zu den wenigen Freunden, die ich auf der Grundschule in der Schimmelmannstraße hatte, keine Gymnasialempfehlung."
"Highlight (Yellow)","Location 501","","Meine alte Schule hatte in Gehweite von meinem Zuhause gelegen, nun musste ich mit dem Bus fahren."
"Highlight (Yellow)","Location 508","","Würfelbecher,"
"Highlight (Yellow)","Location 518","","Meine Mutter meinte später, sie seien sehr nett gewesen."
"Highlight (Yellow)","Location 521","","Das führte zwangsläufig dazu, dass ich stärker dem Alltag an der Schule ausgesetzt war."
"Highlight (Yellow)","Location 525","","Da war ich verhältnismäßig gut, deshalb schenkte mir mein Lehrer einmal sogar ein Heft mit Denksportaufgaben, weil er merkte, dass mir logisches Denken lag."
"Highlight (Yellow)","Location 528","","skizzieren."
"Highlight (Yellow)","Location 537","","Es gab aber auch Lehrer, die ich mochte. Unsere Deutschlehrerin, Frau Wienerberger, mochte ich sogar so sehr, dass ich ihretwegen in den Theaterkurs eintrat, den sie leitete."
"Highlight (Yellow)","Location 543","","Ich blieb jedenfalls backstage und machte Frau Wienerberger damit, glaube ich, nicht besonders glücklich."
"Highlight (Yellow)","Location 544","","All das sind Vorfälle, die ich mir im Nachhinein mit autistischem Verhalten erklären kann."
"Highlight (Yellow)","Location 544","","Sie knüpfen nahtlos an meine Schwierigkeiten bei sozialen Kontakten und die Verständnisprobleme mit meinen Mitmenschen an."
"Highlight (Yellow)","Location 556","","Getötet von einem besoffenen Verkehrsanwalt, der neun Monate nach dem Unfall zu einer anderthalbjährigen Bewährungsstrafe, einer Schmerzensgeldzahlung von 5000 D-Mark und zwei Jahren Führerscheinentzug verurteilt wurde. Im Gericht soll er gesagt haben: »Es war der schwärzeste Tag in meinem Leben. Ich wünschte, ich könnte ihn ungeschehen machen."
"Highlight (Yellow)","Location 561","","Ich bestand darauf, dort eine Ansprache halten zu dürfen, wurde sogar als Redner im Programm eingetragen."
"Highlight (Yellow)","Location 562","","Sonnenstrahlen fielen durch die farbigen Kirchenfenster mit dem Jesus-Mosaik, sodass der Kachelboden vor dem Altar wie ein bunt getupfter Teppich aussah."
"Highlight (Yellow)","Location 569","","geschah etwas Seltsames: Ich redete weiter. Das war nicht so geplant gewesen, es passierte einfach. Vielleicht lag es daran, dass ich spürte, dass mir die Menschen hier ausnahmsweise einmal wirklich zuhörten."
"Highlight (Yellow)","Location 576","","Obwohl ich während dieser Vorfälle nicht ansprechbar war und nicht reagierte, erinnerte ich mich danach immer an alles. Zunächst bestand der Verdacht auf Epilepsie, später wurden psychogene Anfälle diagnostiziert."
"Highlight (Yellow)","Location 578","","Das sind Anfälle, die Epilepsie ähneln, aber nicht durch neuronale, sondern durch psychische Prozesse ausgelöst werden."
"Highlight (Yellow)","Location 580","","verhaltenstherapeutisch"
"Highlight (Yellow)","Location 583","","In der fünften Klasse fing ich damit an, mich zu ritzen. An den Armen und den Beinen. Mit Scheren und Cutter-Messern. Das war kein bewusster Prozess, und soweit ich es rückblickend beurteilen kann, diente es auch keinem bestimmten Ziel."
"Highlight (Yellow)","Location 595","","Doch meine Mutter blieb hartnäckig."
"Highlight (Yellow)","Location 596","","heikel"
"Highlight (Yellow)","Location 599","","Beziehungsweise dessen Ursachen zu ergründen, obwohl es meiner Meinung nach dafür eigentlich überhaupt keinen Anlass gab."
"Highlight (Yellow)","Location 609","","Aus Verlegenheit plappern sie jedes Aufkommen von Stille nieder und machen dabei genau das, wozu ich nicht in der Lage bin: Small Talk."
"Highlight (Yellow)","Location 610","","Mir ist und bleibt es ein Rätsel, wie Menschen stundenlang übers Wetter, übers Essen oder sonstige Belanglosigkeiten sprechen können. Was gibt es denn darüber zu reden? Entweder die Mahlzeit schmeckt, oder sie schmeckt nicht."
"Note","Location 612","","Stimmt"
"Highlight (Yellow)","Location 615","","Dann rede ich lieber über Gemeinsamkeiten, die mich mit einer Person verbinden, oder über Projekte, die man gemeinsam verwirklichen will. Doktor Schwerdtfeger und ich hatten weder Gemeinsamkeiten noch ein Projekt."
"Highlight (Yellow)","Location 616","","Es gab zwischen uns nichts zu reden. Mit ihm zu schweigen war aber auch nicht schön, weil ich keine Beziehung zu ihm hatte. Es war schrecklich."
"Highlight (Yellow)","Location 617","","Weil ich die Situation so grauenhaft fand, wurde ich ausnahmsweise für meine Verhältnisse ziemlich emotional. Ich flehte meine Mutter an, mit der Therapie aufhören zu dürfen, und weinte sogar dabei. Das führte zu einem Gespräch mit meiner Mutter, meinem Vater, Doktor Schwerdtfeger und mir."
"Highlight (Yellow)","Location 627","","Da war es kein Wunder, dass ich in schlechte Gesellschaft geriet."
"Highlight (Yellow)","Location 630","","In gewisser Weise war es sicher ein Akt der Rebellion."
"Highlight (Yellow)","Location 631","","Das Argument, die Pafferei würde meiner Lunge schaden, prallte an mir ab."
"Highlight (Yellow)","Location 634","","Durch den Nikotinentzug ging es mir dann erst mal dreckig. Mir war übel, schwindelig, ich fühlte mich schlapp, aber ich blieb standhaft. Nach zwei Wochen war das Leben auch ohne Nikotin ganz okay."
"Highlight (Yellow)","Location 639","","Eigentlich waren sie Arschlöcher. Nicht weil sie Drogen nahmen, kifften und in den großen Pausen Alkohol tranken, sondern weil sie unablässig blöde Sprüche über meine Klamotten, meine Frisur und meine Therapien machten."
"Highlight (Yellow)","Location 643","","nicht. Lieber blöde Sprüche als komplette Einsamkeit, dachte ich damals. Heute würde ich mich anders entscheiden."
"Highlight (Yellow)","Location 655","","Ob ich in diesem Moment Angst hatte? Bestimmt. Ob ich darüber nachdachte, um Hilfe zu rufen? Vielleicht. Aber ich tat es nicht."
"Highlight (Yellow)","Location 657","","Bis heute ist der Vorfall in meiner Erinnerung seltsam starr."
"Highlight (Yellow)","Location 660","","Die Fahrräder, die die Typen aus ihren Stellplätzen rissen und auf die Straße hievten. Wie sie aufstiegen"
"Highlight (Yellow)","Location 661","","Für einen Moment dachte ich, sie würden einfach abhauen, und der Spuk wäre vorbei."
"Highlight (Yellow)","Location 674","","Säbel wetzen, auflauern, Fresse polieren."
"Highlight (Yellow)","Location 687","","Es ist ein weitverbreitetes Missverständnis, dass mit Autismus automatisch Mathe-Genies assoziiert werden."
"Highlight (Yellow)","Location 688","","In Wahrheit ist das Mathe-Genie nur eines von vielen Beispielen für Spezialinteressen und damit verbundene Inselbegabungen, die viele Asperger-Autisten entwickeln."
"Highlight (Yellow)","Location 699","","Ich kann doch viel besser zum Erfolg einer Sache beitragen, wenn ich ein wirkliches Interesse daran habe."
"Highlight (Yellow)","Location 702","","Klar, es gab auch ein paar Fächer, in denen ich gut war."
"Highlight (Yellow)","Location 703","","Ich schrieb gute Aufsätze, war gut in Informatik, konnte PowerPoint-Präsentationen ausarbeiten und mich an Diskussionen im Philosophiekurs beteiligen."
"Highlight (Yellow)","Location 709","","In jenen Jahren, in denen ich zwischen Therapie und Schule, Trauer und Zweifel, Selbstbehauptung und Sinnsuche hin und her schwankte wie ein Schiff ohne Kapitän, gab es zwei Größen, bei denen ich immer wieder Halt fand: Mats Nowak und das Klavier."
"Highlight (Yellow)","Location 714","","mit der Freude auf seinen Besuch verbunden gewesen war. Jetzt, wo Mats nicht mehr da war, wirkten auch die elfenbeinfarbenen Tasten des Klaviers freudlos, während die Zwischentasten mit ihren schwarzen Moll-Tönen noch sehnsüchtiger zu klingen schienen als zuvor."
"Highlight (Yellow)","Location 716","","Ich wendete mich ab. Doch die Klänge, die das Klavier erzeugte, hallen bis heute in mir nach."
"Highlight (Yellow)","Location 734","","Der Text des Songs brachte meine damalige Stimmungslage viel direkter auf den Punkt, als ich sie selbst zu beschreiben imstande gewesen wäre."
"Highlight (Yellow)","Location 748","","Da wir uns nicht mehr so häufig sahen, bekam ich nur am Rande mit, wie sich ihr Zustand verschlechterte. Dass sie schwächer wurde."
"Highlight (Yellow)","Location 754","","Die Atmosphäre war nicht düster oder beklemmend, eher still und friedlich."
"Highlight (Yellow)","Location 755","","Man sagte uns, wir sollten uns alle Zeit nehmen, die wir brauchten, um uns zu verabschieden. Die anderen brauchten nicht lange. Mirjam traute sich nur bis zum Türrahmen und verabschiedete sich aus der Entfernung. Sie hatte Angst vor der Konfrontation mit dem toten Körper. Ich weiß"
"Highlight (Yellow)","Location 766","","Ich wäre ihr gerne gefolgt."
"Highlight (Yellow)","Location 770","","Ich fand das alles wahnsinnig bedrückend, habe viel geweint."
"Highlight (Yellow)","Location 772","","Wir waren aber auch vorher keine Geschwister wie Pech und Schwefel."
"Highlight (Yellow)","Location 773","","Außerdem war da noch das Konkurrenzthema. Weil es bei dir viele Probleme gab, zogst du naturgemäß viel Aufmerksamkeit auf dich."
"Highlight (Yellow)","Location 774","","Ich würde gar nicht sagen, dass ich deswegen neidisch war, aber es führte zu einem Ungleichgewicht."
"Highlight (Yellow)","Location 776","","Besonders auffällig war das, als später deine Therapien begannen."
"Highlight (Yellow)","Location 777","","Da wurden die Ursachen ja oft in der Familie gesucht. Mal bei den Eltern, mal bei mir. Das war ein Balanceakt. Einerseits wollte ich Mama in Schutz nehmen, die es immer nur gut gemeint hatte und dir helfen wollte, auf der anderen Seite hatte ich den Reflex, mich für mich selbst rechtfertigen zu müssen."
