"Your Kindle Notes For:",,,
"HARRY POTTER UND DER STEIN DER WEISEN (GERMAN EDITION)",,,
"by J.K. Rowling, Klaus Fritz",,,
"Free Kindle instant preview:",,,
"https://a.co/cMoDk39",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 18","","»Einen Brief?«, wiederholte Professor McGonagall mit erlahmender Stimme und setzte sich wieder auf die Mauer."
"Highlight (Yellow)","Page 19","","»Ich behaupte nicht, dass sein Herz nicht am rechten Fleck ist«,"
"Highlight (Yellow)","Page 20","","Schon das Motorrad war gewaltig, doch nichts im Vergleich zu dem Mann, der breitbeinig darauf saß."
"Highlight (Yellow)","Page 20","","In seinen ausladenden, muskelbepackten Armen hielt er ein Bündel aus Leintüchern."
"Highlight (Yellow)","Page 20","","»Ja«, sagte Dumbledore. »Diese Narbe wird ihm immer bleiben.«"
"Highlight (Yellow)","Page 20","","»Können Sie nicht etwas dagegen tun, Dumbledore?« »Selbst wenn ich es könnte, ich würde es nicht. Narben können recht nützlich sein. Ich selbst habe eine oberhalb des linken Knies und die ist ein tadelloser Plan der Londoner U-Bahn."
"Highlight (Yellow)","Page 21","","Er beugte seinen großen, struppigen Kopf über Harry und gab ihm einen gewiss sehr kratzigen, barthaarigen Kuss."
"Highlight (Yellow)","Page 21","","»Schhhh!«, zischte Professor McGonagall, »Sie wecken noch die Muggel auf!«"
"Highlight (Yellow)","Page 22","","»Wir werden uns bald wiedersehen, vermute ich, Professor McGonagall«, sagte Dumbledore und nickte ihr zu. Zur Antwort schnäuzte sich Professor McGonagall die Nase."
"Highlight (Yellow)","Page 22","","Eine Brise kräuselte die sorgfältig geschnittenen Hecken des Ligusterwegs, der still und ordentlich dalag unter dem tintenfarbenen Himmel, und nie wäre man auf den Gedanken gekommen, dass hier etwas Unerhörtes geschehen könnte. In seinen"
"Highlight (Yellow)","Page 22","","Seine kleinen Finger klammerten sich an den Brief neben ihm, und er schlief weiter, nicht wissend, dass er etwas Besonderes war, nicht wissend, dass er berühmt war, nicht wissend, dass in ein paar Stunden, wenn Mrs Dursley die Haustür öffnen würde, um die Milchflaschen hinauszustellen, ein Schrei ihn wecken würde, und auch nicht wissend, dass ihn sein Vetter Dudley in den nächsten Wochen peinigen und piesacken würde"
"Highlight (Yellow)","Page 24","","Wenn die Sonne aufging, tauchte sie dieselben fein säuberlich gepflegten Vorgärten in ihr Licht und ließ dasselbe Messingschild mit der Nummer 4 über der Tür erglimmen."
"Highlight (Yellow)","Page 25","","Mit einem Schlag war Harry hellwach."
"Highlight (Yellow)","Page 25","","Er drehte sich auf den Rücken und versuchte sich an den Traum zu erinnern, den er gerade noch geträumt hatte."
"Highlight (Yellow)","Page 25","","»Beeil dich."
"Highlight (Yellow)","Page 25","","Und lass ihn ja nicht anbrennen, an Duddys Geburtstag muss alles tipptopp sein.«"
"Highlight (Yellow)","Page 25","","Langsam kletterte Harry aus dem Bett und begann nach Socken zu suchen."
"Highlight (Yellow)","Page 25","","Harry war an Spinnen gewöhnt, weil es im Schrank unter der Treppe von Spinnen wimmelte."
"Highlight (Yellow)","Page 25","","Als er angezogen war, ging er den Flur entlang und betrat die Küche."
"Highlight (Yellow)","Page 25","","Warum Dudley eigentlich ein Rennrad haben wollte, war Harry ein Rätsel, denn Dudley war sehr dick und verabscheute Sport – außer natürlich, wenn es darum ging, andern eine reinzuhauen."
"Highlight (Yellow)","Page 26","","damit zu tun, dass er in einem dunklen Schrank lebte, jedenfalls war Harry für sein Alter immer recht klein und dürr gewesen."
"Highlight (Yellow)","Page 26","","Harry hatte ein schmales Gesicht, knubbelige Knie, schwarzes Haar und hellgrüne Augen. Er trug eine Brille mit runden Gläsern, die, weil Dudley ihn auf die Nase geschlagen hatte, mit viel Klebeband zusammengehalten wurden."
"Highlight (Yellow)","Page 26","","»Kämm dir die Haare!«, bellte er als Morgengruß."
"Highlight (Yellow)","Page 27","","Dudley sah Onkel Vernon auffällig ähnlich. Er hatte ein breites, rosa Gesicht, nicht viel Hals, kleine, wässrige blaue Augen und dichtes blondes Haar, das glatt auf seinem runden, fetten Kopf lag."
"Highlight (Yellow)","Page 27","","Tante Petunia sagte oft, dass Dudley aussehe wie ein kleiner Engel – Harry sagte oft, Dudley sehe aus wie ein Schwein mit Perücke."
"Highlight (Yellow)","Page 27","","Er zog eine Schnute."
"Highlight (Yellow)","Page 27","","Spätzchen?"
"Highlight (Yellow)","Page 27","","Dudley dachte einen Augenblick nach und es sah wie Schwerstarbeit aus."
"Highlight (Yellow)","Page 27","","»Von mir aus.«"
"Highlight (Yellow)","Page 28","","Dudley klappte vor Schreck der Mund auf, doch Harrys Herz begann zu hüpfen. Jedes Jahr an Dudleys Geburtstag machten seine Eltern mit ihm und einem Freund einen Ausflug, sie besuchten Abenteuerparks, gingen Hamburger essen oder ins Kino."
"Highlight (Yellow)","Page 28","","Jedes Jahr blieb Harry bei Mrs Figg, einer verrückten alten Dame zwei Straßen weiter."
"Highlight (Yellow)","Page 28","","Harry hasste es, dorthin zu gehen. Das ganze Haus roch nach Kohl, und Mrs Figg bestand darauf, dass er sich die Fotos aller Katzen ansah, die sie je besessen hatte."
"Highlight (Yellow)","Page 28","","»Wir könnten Magda anrufen«, schlug Onkel Vernon vor."
"Highlight (Yellow)","Page 28","","Die Dursleys sprachen oft über Harry, als ob er gar nicht da wäre – oder vielmehr, als ob er etwas ganz Widerwärtiges wäre, das sie nicht verstehen konnten, eine Schnecke vielleicht."
"Highlight (Yellow)","Page 29","","Wie-heißt-sie-noch-mal, deine"
"Highlight (Yellow)","Page 29","","»Und wenn wir zurückkommen, liegt das Haus in Trümmern?«, raunzte sie."
"Highlight (Yellow)","Page 29","","»Der Wagen ist neu, kommt nicht in Frage, dass er alleine drinbleibt …«"
"Highlight (Yellow)","Page 29","","Er weinte zwar nicht wirklich, seit Jahren hatte er nicht mehr wirklich geweint, aber er wusste, wenn er eine Schnute zog und jammerte, würde ihm seine Mutter alles geben, was er wollte."
"Highlight (Yellow)","Page 29","","»Ich … will … nicht … dass er … m-m-mitkommt!«, schrie Dudley zwischen den markerschütternden falschen Schluchzern. »Er macht immer alles k-k-kaputt!« Durch die Arme seiner Mutter hindurch warf er Harry ein gehässiges Grinsen zu."
"Highlight (Yellow)","Page 29","","Piers war ein magerer Junge mit einem Gesicht wie eine Ratte."
"Highlight (Yellow)","Page 30","","beiseitegenommen."
"Highlight (Yellow)","Page 30","","»Ich warne dich«, hatte er gesagt und war mit seinem großen purpurroten Gesicht dem Harrys ganz nahe gekommen, »ich warne dich jetzt, Junge – irgendwelche krummen Dinger, auch nur eine Kleinigkeit – und du bleibst von heute bis Weihnachten im Schrank.«"
"Highlight (Yellow)","Page 30","","Dudley hatte sich dumm und dämlich gelacht bei diesem Anblick, und Harry machte in dieser Nacht kein Auge zu beim Gedanken, wie es ihm am nächsten Tag in der Schule ergehen würde, wo sie ihn ohnehin schon wegen seiner ausgebeulten Sachen und seiner zusammengeklebten Brille hänselten."
"Highlight (Yellow)","Page 31","","Je verzweifelter sie sich mühte, ihn über Harrys Kopf zu ziehen, desto enger schien er zu werden, bis er am Ende vielleicht noch einer Babypuppe gepasst hätte, aber sicher nicht Harry."
"Highlight (Yellow)","Page 31","","Dudleys Bande hatte ihn wie üblich gejagt, als er auf einmal, und zwar ebenso verdutzt wie alle andern, auf dem Kamin saß."
"Highlight (Yellow)","Page 31","","Abfalleimer"
"Highlight (Yellow)","Page 31","","Vielleicht, überlegte Harry, hatte ihn der Wind mitten im Sprung erfasst und hochgetragen."
"Highlight (Yellow)","Page 31","","Doch heute sollte nichts schiefgehen."
"Highlight (Yellow)","Page 31","","Während der Fahrt beschwerte sich Onkel Vernon bei Tante Petunia. Er beklagte sich gerne: die Leute im Büro, Harry, der Stadtrat, Harry, die Bank und Harry waren nur einige seiner Lieblingsthemen."
"Highlight (Yellow)","Page 32","","Dudley und Piers wieherten. »Das weiß ich«, sagte Harry. »Es war ja nur ein Traum.«"
"Highlight (Yellow)","Page 32","","Hätte er bloß nichts gesagt, dachte er."
"Highlight (Yellow)","Page 32","","Umsichtig ging er ein Stück hinter den Dursleys her, damit Dudley und Piers, die um die Mittagszeit anfingen sich zu langweilen, nicht wieder auf ihre Lieblingsbeschäftigung verfielen, nämlich Harry zu verhauen."
"Highlight (Yellow)","Page 33","","Das war des Guten zu viel, und im Nachhinein hatte Harry das Gefühl, er hätte es wissen müssen."
"Highlight (Yellow)","Page 33","","Hier drin war es kühl und dunkel und entlang der Wände waren beleuchtete Sichtfenster eingelassen."
"Highlight (Yellow)","Page 33","","Tatsächlich döste sie vor sich hin."
"Highlight (Yellow)","Page 33","","Dudley hatte die Nase gegen das Fenster gepresst und starrte wie gebannt auf die glänzenden braunen Windungen."
"Highlight (Yellow)","Page 33","","»Mach, dass sie sich bewegt«, sagte er in quengelndem Ton zu seinem Vater."
"Highlight (Yellow)","Page 34","","Die Schlange öffnete plötzlich ihre kleinen Perlaugen."
"Highlight (Yellow)","Page 34","","Langsam, ganz allmählich, hob sie den Kopf, bis"
"Highlight (Yellow)","Page 34","","Harry starrte sie an. Rasch blickte er über die Schulter, ob jemand zusah. Niemand. Er drehte sich wieder zu der Schlange um und zwinkerte zurück."
"Highlight (Yellow)","Page 34","","»So was muss ich den ganzen Tag ertragen.« »Ich weiß«, murmelte Harry durch das Glas, wenn er auch nicht sicher war, ob die Schlange ihn hören konnte. »Das muss dich wirklich auf die Palme bringen.«"
"Highlight (Yellow)","Page 34","","ohrenbetäubendes"
"Highlight (Yellow)","Page 35","","Was nun kam, passierte so schnell, dass niemand sah, wie es geschah: Einen"
"Highlight (Yellow)","Page 35","","Die große Schlange entrollte sich im Nu und schlängelte sich heraus auf den Boden."
"Highlight (Yellow)","Page 35","","Als die Schlange an Harry vorbeiglitt, hätte er schwören können, dass eine leise, zischelnde Stimme sagte: »Brasilien, ich komme … tschüsss, Amigo.«"
"Highlight (Yellow)","Page 35","","Soweit Harry es gesehen hatte, hatte die Schlange nichts getan, außer im Vorbeigleiten spielerisch gegen ihre Fersen zu schlenzen, doch als sie alle wieder in Onkel Vernons Wagen saßen, erzählte ihnen Dudley, die Schlange hätte ihm fast das Bein abgebissen, während Piers schwor, sie hätte versucht, ihn totzuquetschen."
"Highlight (Yellow)","Page 36","","Onkel Vernon wartete, bis Piers endgültig aus dem Haus war, bevor er sich Harry vorknöpfte. Er war so wütend, dass er kaum ein Wort hervorbrachte."
"Highlight (Yellow)","Page 36","","schleunigst"
"Highlight (Yellow)","Page 36","","Bis es so weit war, konnte er es nicht riskieren, in die Küche zu schleichen und sich etwas zu essen zu holen. Fast zehn Jahre lebte er nun bei den Dursleys, solange er sich erinnern konnte, und es waren zehn elende Jahre gewesen."
"Highlight (Yellow)","Page 36","","ein blendend heller Blitz aus grünem Licht und ein brennender Schmerz auf seiner Stirn."
"Highlight (Yellow)","Page 37","","die Dursleys waren alles, was er noch an Familie hatte."
"Highlight (Yellow)","Page 37","","dass Unbekannte auf der Straße ihn zu kennen schienen. Sehr merkwürdige Unbekannte waren das übrigens."
"Highlight (Yellow)","Page 37","","Das Seltsamste an all diesen Leuten war, dass sie zu verschwinden schienen, wenn Harry versuchte sie genauer anzusehen."
"Highlight (Yellow)","Page 37","","Jeder wusste, dass Dudleys Bande diesen komischen Harry Potter mit seinen ausgebeulten alten Klamotten und seiner zerbrochenen Brille nicht ausstehen konnte, und niemand mochte Dudleys Bande in die Quere kommen."
"Highlight (Yellow)","Page 38","","Piers, Dennis, Malcolm und Gordon waren allesamt groß und dumm, doch weil Dudley der Größte und Dümmste von allen war, war er ihr Anführer."
"Highlight (Yellow)","Page 38","","Das baldige Ende der Ferien war ein kleiner Hoffnungsschimmer."
"Highlight (Yellow)","Page 38","","»In Stonewall stecken sie den Neuen am ersten Tag den Kopf ins Klo«, eröffnete er Harry. »Willst du mit hochkommen und schon mal üben?«"
"Highlight (Yellow)","Page 39","","Eines Tages im Juli nahm Tante Petunia Dudley mit nach London, um dort die Schuluniform für Smeltings zu kaufen, und ließ Harry bei Mrs Figg zurück."
"Highlight (Yellow)","Page 39","","Die Jungen in Smeltings trugen kastanienbraune Fräcke, orangefarbene Knickerbocker-Hosen und flache Strohhüte, die sie »Kreissägen« nannten."
"Highlight (Yellow)","Page 39","","Das galt als gute Übung fürs spätere Leben."
"Highlight (Yellow)","Page 39","","Womöglich hatte er sich schon zwei Rippen angeknackst vor lauter Anstrengung, nicht loszulachen."
"Highlight (Yellow)","Page 40","","Das bezweifelte Harry ernsthaft, er hielt es aber für besser, ihr nicht zu widersprechen."
"Highlight (Yellow)","Page 40","","»Hol die Post, Dudley«, sagte Onkel Vernon hinter seiner Zeitung hervor. »Soll doch Harry sie holen.« »Hol die Post, Harry.« »Soll doch Dudley sie holen.«"
"Highlight (Yellow)","Page 41","","Dreierlei lag auf der Türmatte: eine Postkarte von Onkel Vernons Schwester Magda, die Ferien auf der Isle of Wight machte, ein brauner Umschlag, der wohl eine Rechnung enthielt, und – ein Brief für Harry."
"Highlight (Yellow)","Page 41","","Wer konnte es sein? Er hatte keine Freunde, keine anderen Verwandten – er war nicht in der Bücherei angemeldet und hatte deshalb auch nie unhöfliche Aufforderungen erhalten, Bücher zurückzubringen."
"Highlight (Yellow)","Page 41","","Umschlag,"
"Highlight (Yellow)","Page 41","","Eine Briefmarke war nicht draufgeklebt."
"Highlight (Yellow)","Page 41","","Mit zitternder Hand drehte Harry den Brief um und sah ein purpurnes Siegel aus Wachs, auf das ein Wappenschild eingeprägt war: ein Löwe, ein Adler, ein Dachs und eine Schlange, die einen Kreis um den Buchstaben »H« schlossen."
"Highlight (Yellow)","Page 41","","»Beeil dich, Junge!«,"
"Highlight (Yellow)","Page 41","","Er gluckste über seinen eigenen Scherz."
"Highlight (Yellow)","Page 42","","»P-P-Petunia!«, stieß er keuchend hervor."
"Highlight (Yellow)","Page 43","","»RAUS!«, brüllte Onkel Vernon, packte Harry und Dudley am Genick, warf sie hinaus in den Flur und knallte die Küchentür hinter ihnen zu."
"Highlight (Yellow)","Page 43","","»Nein«, sagte er endlich. »Nein, wir tun so, als ob nichts wäre."
"Highlight (Yellow)","Page 45","","Auch ein großer Vogelkäfig stand da, in dem einmal ein Papagei gelebt hatte, den Dudley in der Schule gegen ein echtes Luftgewehr getauscht hatte."
"Highlight (Yellow)","Page 45","","Er soll wieder ausziehen …«"
"Highlight (Yellow)","Page 45","","Am nächsten Morgen beim Frühstück waren alle recht schweigsam."
"Highlight (Yellow)","Page 45","","Hätte er den Brief doch nur schon im Flur geöffnet, dachte er voll Bitterkeit."
"Highlight (Yellow)","Page 45","","Onkel Vernon und Tante Petunia sahen sich unablässig mit düsterer Miene"
"Highlight (Yellow)","Page 46","","Nach einem kurzen Gerangel, bei dem jeder ein paar saftige Schläge mit dem Smelting-Stock einstecken musste, richtete sich Onkel Vernon nach Luft ringend auf und hielt Harrys Brief in der Hand."
"Highlight (Yellow)","Page 46","","»Verschwinde in deinen Schrank – ich meine, dein Zimmer«, japste er Harry zu. »Dudley – geh – ich bitte dich, geh.«"
"Highlight (Yellow)","Page 46","","Oben in seinem neuen Zimmer ging Harry auf und ab, auf und ab."
"Highlight (Yellow)","Page 46","","Er hatte einen Plan ausgeheckt."
"Highlight (Yellow)","Page 47","","»Ich will –«, begann er, doch Onkel Vernon zerriss die Briefe vor seinen Augen in kleine Fetzen."
"Highlight (Yellow)","Page 47","","Er blieb zu Hause und nagelte den Briefschlitz zu."
"Highlight (Yellow)","Page 47","","»Ich bin mir nicht sicher, ob das klappt, Vernon.«"
"Highlight (Yellow)","Page 47","","»Oh, diese Leute haben eine ganz merkwürdige Art zu denken, Petunia, sie sind nicht wie du und ich«,"
"Highlight (Yellow)","Page 48","","Am Sonnabend gerieten die Dinge außer Kontrolle."
"Highlight (Yellow)","Page 48","","Während Onkel Vernon wütend beim Postamt und bei der Molkerei anrief und versuchte jemanden aufzutreiben, bei dem er sich beschweren konnte, zerschnitzelte Tante Petunia die Briefe in ihrem Küchenmixer."
"Highlight (Yellow)","Page 48","","»Wer zum Teufel will so dringend mit dir sprechen?«, fragte Dudley Harry ganz verdutzt."
"Highlight (Yellow)","Page 48","","Als sich Onkel Vernon am Sonntagmorgen an den Frühstückstisch setzte, sah er müde und ziemlich erschöpft, aber glücklich aus."
"Highlight (Yellow)","Page 48","","»keine verfluchten Briefe heute"
"Highlight (Yellow)","Page 48","","Einen Augenblick später kamen dreißig oder vierzig Briefe wie Kugeln aus dem Kamin geschossen."
"Highlight (Yellow)","Page 49","","zog jedoch gleichzeitig große Haarbüschel aus seinem Schnurrbart."
"Highlight (Yellow)","Page 49","","Und keine Widerrede!«"
"Highlight (Yellow)","Page 49","","Hin und wieder machte Onkel Vernon scharf kehrt und fuhr dann eine Weile in die entgegengesetzte Richtung."
"Highlight (Yellow)","Page 49","","»Schüttel sie ab … schüttel sie ab«, murmelte er immer dann, wenn er umkehrte."
"Highlight (Yellow)","Page 49","","Er war hungrig, er hatte fünf seiner Lieblingssendungen im Fernsehen verpasst, und er hatte noch nie so lange Zeit verbracht, ohne am Computer einen Außerirdischen in die Luft zu jagen."
"Highlight (Yellow)","Page 50","","Dudley und Harry teilten sich ein Zimmer mit Doppelbett und feuchten, modrigen Decken. Dudley schnarchte, aber Harry blieb wach."
"Highlight (Yellow)","Page 50","","»Verzeihn Sie, aber ist einer von Ihnen Mr H. Potter? Es ist nur – ich hab ungefähr hundert von diesen Dingern am Empfangsschalter.«"
"Highlight (Yellow)","Page 50","","Dasselbe geschah inmitten eines umgepflügten Ackers, auf halbem Weg über einer Hängebrücke und auf der obersten Ebene eines mehrstöckigen Parkhauses."
"Highlight (Yellow)","Page 51","","Große Tropfen klatschten auf das Wagendach. Dudley schniefte."
"Highlight (Yellow)","Page 51","","Ich will dahin, wo sie einen Fernseher haben.«"
"Highlight (Yellow)","Page 51","","Trotzdem, man wird nicht jeden Tag elf."
"Highlight (Yellow)","Page 51","","Auf diesem Felsen thronte die schäbigste kleine Hütte, die man sich vorstellen kann. Eins war sicher, einen Fernseher gab es dort nicht."
"Highlight (Yellow)","Page 51","","»Sturmwarnung für heute Nacht!«, sagte Onkel Vernon schadenfroh und klatschte in die Hände. »Und dieser Gentleman hier hat sich freundlicherweise bereit erklärt, uns sein Boot zu leihen!«"
"Highlight (Yellow)","Page 52","","Eisige Gischt und Regentropfen krochen ihnen die Rücken hinunter und ein frostiger Wind peitschte über ihre Gesichter."
"Highlight (Yellow)","Page 52","","Innen sah es fürchterlich aus; es stank durchdringend nach Seetang, der Wind pfiff durch die Ritzen der Holzwände und die Feuerstelle war nass und leer. Es gab nur zwei Räume."
"Highlight (Yellow)","Page 52","","gaben nur Rauch von sich und schrumpelten zusammen. »Jetzt könnte ich ausnahmsweise mal einen dieser Briefe gebrauchen, Leute«, sagte er fröhlich."
"Highlight (Yellow)","Page 52","","Er war bester Laune. Offenbar glaubte er, niemand hätte eine Chance, sie hier im Sturm zu erreichen und die Post zuzustellen."
"Highlight (Yellow)","Page 52","","Tante Petunia fand ein paar nach Aal riechende Leintücher und machte Dudley auf dem mottenzerfressenen Sofa ein Bett zurecht."
"Highlight (Yellow)","Page 53","","Die Nacht rückte vor und immer wütender blies der Sturm."
"Highlight (Yellow)","Page 53","","Er bibberte und wälzte sich hin und her, um es sich bequemer zu machen, und sein Magen röhrte vor Hunger."
"Highlight (Yellow)","Page 53","","Der Leuchtzeiger von Dudleys Uhr, die an seinem dicken Handgelenk vom Sofarand herunterbaumelte, sagte Harry, dass er in zehn Minuten elf Jahre alt sein würde."
"Highlight (Yellow)","Page 53","","stibitzen"
"Highlight (Yellow)","Page 53","","Und (noch zwei Minuten) was war das für ein komisches, malmendes Geräusch? Zerbrach der Fels und stürzte ins Meer?"
