"Your Kindle Notes For:",,,
"NICHT WEG UND NICHT DA: ROMAN (GERMAN EDITION)",,,
"by Anne Freytag",,,
"Free Kindle instant preview:",,,
"https://a.co/5KfuXEA",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 20","","»Ach, nichts weiter«,"
"Highlight (Yellow)","Page 20","","Darüber, wie es mir geht."
"Highlight (Yellow)","Page 20","","Ich bin wie ein Kriegsgebiet, wie ein Feld voller Tretminen, das Ming zu überqueren versucht."
"Highlight (Yellow)","Page 20","","Sie tut es aus Rücksicht. Weil sie es nicht noch schlimmer machen will."
"Highlight (Yellow)","Page 20","","Mir zuliebe."
"Highlight (Yellow)","Page 20","","»Nein«, sagt sie. »Gar nicht. Wäre ich nicht so ein unglaublicher Feigling, würde ich es selbst mal probieren.« Ich versuche, mir vorzustellen, wie Ming mit einem kahl rasierten Kopf aussehen würde."
"Highlight (Yellow)","Page 21","","»Gibt’s was Neues?«"
"Highlight (Yellow)","Page 21","","Und wieder sind wir bei mir angekommen. Alles, was ich will, ist ab und an zu vergessen, was passiert ist. Die Wahrheit für ein paar Minuten zu leugnen und mich in Alltäglichkeiten zu verlieren."
"Highlight (Yellow)","Page 21","","Sie lächelt. »Ich stelle es mir irgendwie ganz schön vor, jemandem alles erzählen zu können.«"
"Highlight (Yellow)","Page 22","","»Ach ja, was ich dich noch fragen wollte«, wechselt sie das Thema."
"Highlight (Yellow)","Page 22","","Ich fasse automatisch an meine Unterlippe und drehe die kleine Kugel zwischen meinen Fingern hin und her."
"Highlight (Yellow)","Page 22","","»Ich habe Narrenfreiheit."
"Highlight (Yellow)","Page 22","","Damit. Das ist genauso wie darüber."
"Highlight (Yellow)","Page 24","","Ich bin müde vom Training. Meine Arme sind schwer, und mein Nacken ist verspannt. Ich hätte echt vorher einkaufen gehen sollen. Der Supermarkt ist voll."
"Highlight (Yellow)","Page 24","","matschig."
"Highlight (Yellow)","Page 24","","Reihen"
"Highlight (Yellow)","Page 24","","Auf einer der Packungen ist eine Plantage auf der Vorderseite abgedruckt."
"Highlight (Yellow)","Page 24","","ernten"
"Highlight (Yellow)","Page 24","","Wie eine Wand aus Wut, hinter die sie niemanden lässt."
"Highlight (Yellow)","Page 24","","Ich bin genauso."
"Highlight (Yellow)","Page 27","","Sessel,"
"Highlight (Yellow)","Page 27","","holzgetäfelten"
"Highlight (Yellow)","Page 27","","schreit"
"Highlight (Yellow)","Page 27","","Sie hängen zwischen wuchtigen Bilderrahmen, in denen Menschen, Blumenvasen und Landschaften festgehalten wurden."
"Highlight (Yellow)","Page 27","","Auf einem der Gemälde erkenne ich eine Fuchsjagd. Viele Pferde und Hunde, einen Wald, ein paar Männer in roten Uniformen, einer von ihnen bläst in eine Trompete oder ein Horn – ich kenne mich da nicht so aus."
"Highlight (Yellow)","Page 27","","Mir helfen. Alle wollen sie mir helfen. Als wäre ich eine alte Frau, die es nicht mehr allein über die Straße schafft."
"Highlight (Yellow)","Page 27","","Ich glaube, er kann es auch dann nicht. Das Polster, auf dem ich sitze, ist steif."
"Highlight (Yellow)","Page 28","","gemütlicher"
"Highlight (Yellow)","Page 28","","Fachmännisch und freundschaftlich."
"Highlight (Yellow)","Page 28","","einfühlsam-wohlwollenden Ausdruck."
"Highlight (Yellow)","Page 28","","Seine Augen sagen: Ich war auch mal fünfzehn. Ich weiß, wie es dir geht. Einen Scheißdreck weiß er."
"Highlight (Yellow)","Page 28","","verarbeiten,"
"Highlight (Yellow)","Page 28","","Das gerade ist so einer."
"Highlight (Yellow)","Page 28","","teilnahmslos."
"Highlight (Yellow)","Page 28","","An der Lichtung steht ein Hirsch mit einem riesigen Geweih. Er sieht mich an."
"Highlight (Yellow)","Page 28","","Ich schaue auf."
"Highlight (Yellow)","Page 29","","»Weil sie es verdient hat«, sage ich ohne Umschweife. Ich klinge kalt. Als wäre es mir egal."
"Highlight (Yellow)","Page 29","","»Und warum hat sie es verdient?« Weil sie ein widerliches Miststück ist."
"Highlight (Yellow)","Page 29","","Aber was würde das ändern? Sie wäre noch immer ein Miststück, ich hätte sie noch immer geschlagen und es würde mir noch immer nicht leidtun."
"Highlight (Yellow)","Page 29","","»Was war der Grund?«"
"Highlight (Yellow)","Page 29","","Blutiger Rotz ist ihr aus der Nase gequollen. Sie hat geheult. Und ich habe mich so gut gefühlt wie lange nicht mehr."
"Highlight (Yellow)","Page 29","","Die Knöchel meiner rechten Hand pochen, als wäre dieser Moment in ihnen gespeichert. Ich hatte keine Ahnung, wie weh es tut, jemanden zu schlagen. Und auch nicht, wie gut es tut."
"Highlight (Yellow)","Page 30","","Oder den Dackel gegen die Wand schmeißen."
"Highlight (Yellow)","Page 30","","Er wartet, aber er wartet umsonst."
"Highlight (Yellow)","Page 30","","Ich bin gut darin, Menschen in den Wahnsinn zu treiben."
"Highlight (Yellow)","Page 30","","»Gib mir wenigstens eine Chance«, sagt er matt, aber ich reagiere nicht."
"Highlight (Yellow)","Page 30","","»Warum hast du dir die Haare abrasiert?«, fragt er. »Wieso, finden Sie, es steht mir nicht?«, frage ich zurück. »War es der Wunsch nach Veränderung?« Ich hasse diese Psycho-Scheiße."
"Highlight (Yellow)","Page 30","","Beim letzten Satz versteift er sich, sieht kurz weg und verliert damit unser Spiel."
"Highlight (Yellow)","Page 30","","geschmacklos«,"
"Highlight (Yellow)","Page 30","","passend«,"
"Highlight (Yellow)","Page 30","","Es muss frustrierend sein, sich mit jemandem wie mir rumzuärgern."
"Highlight (Yellow)","Page 30","","Jedenfalls ist er gereizt, versucht aber, es sich nicht anmerken zu lassen."
"Highlight (Yellow)","Page 31","","nüchtern"
"Highlight (Yellow)","Page 31","","»Erzähl mir von Kristopher.«"
"Highlight (Yellow)","Page 32","","Ich habe ihm nichts erzählt. Gar nichts. Nicht nur, weil ich nicht wollte, sondern weil ich nicht wusste, wie. Wo hätte ich anfangen sollen? Bei Kristophers Geburt? Bei seiner Krankheit? Oder doch gleich ganz am Ende: bei seinem Tod."
"Highlight (Yellow)","Page 32","","Es gab mich noch nicht. Damals war ich Sternenstaub."
"Highlight (Yellow)","Page 32","","Schnipsel,"
"Highlight (Yellow)","Page 32","","verblasst."
"Highlight (Yellow)","Page 32","","Er hat lange nicht gelacht. Wochenlang. Vielleicht sogar Monate. Ich habe Angst davor, diesen warmen kehligen Klang irgendwann völlig zu vergessen. Und noch mehr Angst habe ich davor, dass es eines Tages so sein wird, als hätte es meinen Bruder nie gegeben. Als wäre er nicht mehr als die Figur einer Geschichte, die ich einmal als Kind gehört habe. Ich war noch klein, als bei Kristopher die Bipolare Störung diagnostiziert wurde, aber ich erinnere mich daran, wie dunkel er schon damals sein konnte."
"Highlight (Yellow)","Page 32","","finsterste"
"Highlight (Yellow)","Page 32","","Tatendrang."
"Highlight (Yellow)","Page 32","","Mein Bruder glaubte nicht an Gott. Er glaubte an die Naturwissenschaft. An Zellen, die sterben. An Gehirne, die irgendwann tot sind. Ich habe ihm immer wieder gesagt, dass er mehr ist als nur die Zellen, und dann hat er gelächelt und den Kopf geschüttelt. Vor ein paar Monaten habe ich ihn gefragt, wie es sein kann, dass Tabletten nichts bringen, wo sie doch auf den Prinzipien der Naturwissenschaft basieren. Er hat gelächelt und geantwortet: Hat dir eigentlich schon mal jemand gesagt, dass du ziemlich klug bist, Lise?"
"Highlight (Yellow)","Page 33","","Gehirne, die irgendwann tot sind."
"Highlight (Yellow)","Page 33","","Ich ziehe meine Jacke an, wickle mir den Schal um den Hals und verlasse die Praxis."
"Highlight (Yellow)","Page 33","","Ich habe gespürt, dass mein Bruder sich immer weiter entfernt, dass ihn nichts hält, wenn ich es nicht tue. Dass er mir entgleitet."
"Highlight (Yellow)","Page 33","","Was danach passiert ist, ist weg. Ausgelöscht. Eine Leerstelle in meinem Kopf. Ich war niemals zuvor bewusstlos. Ich kannte nur wach sein oder schlafen, jetzt weiß ich, dass es noch einen weiteren Zustand gibt."
"Highlight (Yellow)","Page 34","","Fremd und ferngesteuert."
"Highlight (Yellow)","Page 34","","Leer und betäubt."
"Highlight (Yellow)","Page 34","","Zettel"
"Highlight (Yellow)","Page 34","","Abschiedsbrief."
"Highlight (Yellow)","Page 34","","Abschiedssatz."
"Highlight (Yellow)","Page 34","","Den Zettel habe ich noch. Und die Albträume. Und die irrationale Hoffnung, dass das alles nicht wahr ist. Dass Kristopher wiederkommt. Dass er noch lebt. Dass das alles ein Irrtum ist, weil es mich ohne ihn einfach nicht geben kann."
"Highlight (Yellow)","Page 34","","Ich umfasse das Geländer und versuche, ruhig weiterzuatmen, aber die Luft ist so dick wie Sirup."
"Highlight (Yellow)","Page 35","","kühlen Metallsprossen. »Ist alles okay?«, fragt eine tiefe Stimme, und ich schlage die Augen auf. Es ist der Typ von letzter Woche. Der, der bei den Briefkästen stand und mich angeschaut hat, als wäre ich eine Gewebeprobe unter dem Mikroskop."
"Highlight (Yellow)","Page 35","","Er steht in Trainingsklamotten am Treppenabsatz und mustert mich. »Brauchst du ein Glas Wasser?«"
"Highlight (Yellow)","Page 35","","»Nein«, sage ich tonlos. »Es geht mir gut.« Er geht vor mir in die Hocke. Sein Gesicht"
"Highlight (Yellow)","Page 35","","Kaugummi."
"Highlight (Yellow)","Page 35","","Kreislauf«,"
"Highlight (Yellow)","Page 35","","»Geht schon«,"
"Highlight (Yellow)","Page 35","","Jeweils mit Käse und Marmelade. Kristopher hat diese Kombination geliebt. Das Beste aus zwei Welten, hat er immer gesagt."
"Highlight (Yellow)","Page 36","","Ich esse es auf, dann greife ich nach dem zweiten. Er beobachtet mich."
"Highlight (Yellow)","Page 36","","Wimpern"
"Highlight (Yellow)","Page 36","","Mit diesem Gut greift er nach dem Teller, der neben mir auf der Stufe steht, dreht sich um und verschwindet. Einfach so. Ich weiß noch nicht mal, wie er heißt."
"Highlight (Yellow)","Page 37","","Sie reibt die Hände aneinander, um sie zu wärmen, dann vergräbt sie sie in ihrem Schal."
"Highlight (Yellow)","Page 37","","Etwas an ihr ist besonders."
"Highlight (Yellow)","Page 37","","Abgeschnitten vom Rest der Welt."
"Highlight (Yellow)","Page 37","","Auf eine Art einsam, die mir bekannt vorkommt."
"Highlight (Yellow)","Page 37","","Spüle."
"Highlight (Yellow)","Page 37","","Und ich muss zur Arbeit."
"Highlight (Yellow)","Page 38","","zornig."
"Highlight (Yellow)","Page 38","","Die Falten zwischen seinen Brauen ergeben zusammen ein Pi: zwei senkrechte Linien und eine ganz dünne, die knapp darüber liegt. Bei diesem Gedanken spüre ich ein Lächeln auf meinen Lippen, das jedoch im selben Moment wieder verschwindet."
"Highlight (Yellow)","Page 38","","Ich müsste nur zu dem Briefkasten gehen, neben dem er vorige Woche stand. Es war der vierte von rechts in der oberen Reihe."
"Highlight (Yellow)","Page 39","","Mysteriösen, schweigsamen Kerlen mit Denkerfalten und eigenwilligem Modegeschmack liegen die Frauen zu Füßen."
"Highlight (Yellow)","Page 39","","Er ist so ein Typ."
"Highlight (Yellow)","Page 39","","Er ist eben kein Mann der vielen Worte."
"Highlight (Yellow)","Page 39","","Überlegenheit"
"Highlight (Yellow)","Page 39","","eindeutig"
"Highlight (Yellow)","Page 39","","Ich lehne den Kopf an die beschlagene Scheibe und atme dagegen. Schneeflocken rasen auf mich zu. Ich fröstle. Mir ist auf diese Art kalt, die man nur im heißen Badewasser wieder loswird. Aber wir haben keine Badewanne."
"Highlight (Yellow)","Page 39","","Am liebsten würde ich einfach schlafen gehen, aber es ist noch nicht einmal 18:00 Uhr. Ich gehe in die Küche, fülle den Wasserkocher auf und schalte ihn ein."
"Highlight (Yellow)","Page 39","","Morgen habe ich Geburtstag. Den ersten ohne meinen Bruder. Den ersten als Einzelkind. Ich weiß nicht, wie das gehen soll. Meine Welt funktioniert nicht ohne Kristopher. Es ist wie bei einer Gleichung. Wenn er fehlt, komme ich nicht weiter. Man kann nicht einfach auf der einen Seite etwas wegnehmen, ohne es auf der anderen anzupassen."
"Highlight (Yellow)","Page 39","","unvollständig."
"Highlight (Yellow)","Page 40","","Seine Launen, seine Wutausbrüche, seine depressiven Phasen."
"Highlight (Yellow)","Page 40","","Um seine kreativen Episoden und die schwarzen Löcher, die darauf folgten. Um seine Medikamente, um seine Therapien, darum, wie man ihm helfen könnte. In unserem Universum war er die Sonne und ich einer der ganz kleinen unbedeutenden Planeten in den äußeren Umlaufbahnen, die nicht mal einen Namen haben."
"Highlight (Yellow)","Page 40","","Das war kein Hilferuf."
"Highlight (Yellow)","Page 40","","Es war ein letzter Ausweg."
"Highlight (Yellow)","Page 40","","Die Küche riecht nach Süßholz und Zimt, und ich denke daran, wie Kristopher und ich noch vor ein paar Wochen zusammen im Haus der Kunst waren."
"Highlight (Yellow)","Page 40","","Er fehlt mir. Er fehlt mir auf eine Million unterschiedliche Arten."
"Highlight (Yellow)","Page 40","","Und wie immer fällt mein Blick auf Kristophers Zimmertür. Und es fühlt sich an, als wäre dahinter das Nichts."
"Highlight (Yellow)","Page 40","","Mein Bruder war mein ganzes Leben lang da. Jeden Tag davon. Jetzt ist er weg. Und in ein paar Stunden werde ich ein Jahr älter. Ohne ihn."
"Highlight (Yellow)","Page 41","","Mein Bruder hat ein Faible dafür, Fenster zu kippen und sie dann nie wieder zuzumachen."
"Highlight (Yellow)","Page 41","","Ich schließe das Fenster, drehe die Heizung voll auf und gehe in mein Zimmer. Sogar hier ist es kalt. Und das, obwohl die Tür zu war."
"Highlight (Yellow)","Page 41","","Das Mädchen auf dem Foto sieht ihr irgendwie ähnlich und doch auch wieder nicht. Es sind dieselben dunklen Augen, in die ich schaue, aber der Ausdruck ist ein völlig anderer."
"Highlight (Yellow)","Page 41","","Ich frage mich, was sie zu einer gemacht hat."
"Highlight (Yellow)","Page 41","","Sie sieht aus wie eine dunkle Version ihres Bruders."
"Highlight (Yellow)","Page 41","","Was wohl aus ihm geworden ist? Kristopher war ein netter Kerl."
"Highlight (Yellow)","Page 41","","Ein bisschen seltsam vielleicht, aber ich mochte ihn, wenn auch nicht genug, um mich mit ihm anzufreunden – was jedoch nichts mit ihm zu tun hat."
"Highlight (Yellow)","Page 41","","Ich öffne Facebook und gebe seinen Namen ein. Nichts. Danach ihren. Vier Treffer, aber keiner davon ist sie. Sie hat kein Profil. Und auch ihr Bruder scheint keins zu haben. Oder sie haben nur eines zum Spionieren. So wie ich."
"Highlight (Yellow)","Page 42","","Mein Handy klingelt. Auf dem Display erscheint der Name: Nicht drangehen. Evelyn. Ich frage mich, wie oft sie noch anrufen wird, bevor sie endlich kapiert, dass ich nichts von ihr will."
"Highlight (Yellow)","Page 42","","Ich antworte nicht. Sie tippt."
"Highlight (Yellow)","Page 44","","Ich schüttle den Kopf und verdrehe die Augen. Hör doch einfach auf, mir zu schreiben."
"Highlight (Yellow)","Page 44","","Wieso sind sich die Stimmen in meinem blöden Kopf eigentlich nie einig? Ich will nicht, dass Evelyn vorbeikommt. Ich will nicht mit ihr reden. Und ich will nicht gemein zu ihr sein."
"Highlight (Yellow)","Page 44","","Und mit ihr zu schlafen wäre auf jeden Fall besser, als weiter über ein Mädchen mit kahl rasiertem Kopf und schwachem Kreislauf nachzudenken."
"Highlight (Yellow)","Page 44","","Zumindest würde ich kurz damit aufhören."
"Highlight (Yellow)","Page 47","","aber mir ist nicht nach Reden."
"Highlight (Yellow)","Page 47","","Und auch nicht nach fröhlichen Worten."
"Highlight (Yellow)","Page 47","","Also gehe ich nicht dran. Ich weiß, dass sie das verstehen wird. Sie weiß, wie ich bin."
"Highlight (Yellow)","Page 47","","Wäre Ming nicht umgezogen, wäre sie jetzt vermutlich hier. Sie würde neben mir liegen. Ich frage mich, ob wir uns unterhalten würden, aber ich kann es nicht sagen. Alles, was ich weiß, ist, dass ich in diesem Augenblick froh darüber bin, allein zu sein. Nicht sprechen zu müssen. Mit niemandem. Ich liege einfach nur auf meinem Bett und denke daran, wie Kristopher und ich genau jetzt vor einem Jahr gemeinsam in der Küche saßen und angestoßen haben. Mit heißer Schokolade, weil er wegen seiner Tabletten keinen Alkohol trinken durfte. Es war die beste heiße Schokolade, die ich je hatte."
"Highlight (Yellow)","Page 47","","Das Außenrum."
"Highlight (Yellow)","Page 47","","The Magnetic Zeros auf Endlosschleife gehört und bis spät in die Nacht geredet. Über das Leben und die Liebe und unsere Pläne. Kristopher wollte sich verlieben, ausziehen und an die Akademie der Künste gehen. In Wirklichkeit hat er diese Wohnung so gut wie nie verlassen, er hat nicht studiert und sich auch nicht verliebt. Stattdessen hat er sich das Leben genommen, bevor es richtig anfangen konnte."
"Highlight (Yellow)","Page 48","","Damals dachte ich noch, dass alles gut wird. Dass er einen Weg aus seiner Dunkelheit gefunden hat. Jetzt – ein Jahr später – ist er tot. Vielleicht war das der Weg. Vielleicht ging es nicht anders. Für mich bedeutet das keine heiße Schokolade mehr. Und keine Pläne für die Zukunft. Und keine Geschenke. Nie wieder eines von seinen Geschenken."
"Highlight (Yellow)","Page 48","","Der Rahmen war in goldenes Papier gewickelt."
"Highlight (Yellow)","Page 48","","Wiedererkennungswert."
"Highlight (Yellow)","Page 48","","Das war seiner. Er hatte eine Schublade voll mit PaperMates – seine Lieblingskugelschreiber. Ich weiß nicht, wie viele es waren, aber er konnte nicht genug davon haben."
"Highlight (Yellow)","Page 48","","Wenn mein Bruder eine von seinen manischen Episoden hatte, war er tagelang wach. Rastlos. Er hat gemalt. Auch nachts. Das Licht schien dann immer unter seiner Tür in den schwarzen Flur, und ich wusste, dass er da ist."
"Highlight (Yellow)","Page 48","","staubig."
"Highlight (Yellow)","Page 48","","Eine dünne gleichmäßige Schicht."
"Highlight (Yellow)","Page 48","","die Kristopher einmal gezogen hat. Dünn wie Papier. Zwei Hände mit ineinander verschränkten Fingern. Sie sind schematisch und zweidimensional."
"Highlight (Yellow)","Page 48","","Wie lose Seiten."
"Highlight (Yellow)","Page 48","","Als Kristopher mir diese Zeichnung damals gegeben hat, meinte er: Du und ich, wir sind für immer verbunden. Das weißt du, oder?"
"Highlight (Yellow)","Page 49","","Schluck"
"Highlight (Yellow)","Page 49","","Er ist kalt geworden, aber das stört mich nicht. Mein Handy vibriert, und das Display leuchtet auf. Drei neue Nachrichten. Die erste ist von Ming. Die zweite von meinem Vater. Und die dritte von Mama, in der sie mir schreibt, dass sie es vor eins nicht nach Hause schafft, weil gerade noch ein Notfall reingekommen ist, aber dass sie einen Kuchen gekauft hat und hofft, dass ich noch wach bin, wenn sie dann da ist."
"Highlight (Yellow)","Page 50","","Es ist halb eins, und Evelyn schläft tief und fest. Als wäre mein verdammtes Bett der Ort auf der Welt, an dem sie sich am wohlsten fühlt. Ich sehe dabei zu, wie sich ihr Brustkorb gleichmäßig hebt und senkt. Sie liegt neben mir und ist doch ganz woanders. Ich wünschte, sie wäre wirklich ganz woanders."
"Highlight (Yellow)","Page 51","","Mein Magen knurrt. Ich rapple mich auf, bücke mich nach meinen Boxershorts und meinem T-Shirt, ziehe beides an und verlasse leise das Zimmer. Im Flur fällt mir auf, dass Arthur nicht nach Hause gekommen ist. Seine Schuhe sind nicht da. Genauso wenig wie sein Schlüssel. Ich gehe in die Küche, setze mich an den Tisch und esse ein Stück kalte Pizza. Mein Handy liegt immer noch neben dem offenen Karton. Der Sperrbildschirm zeigt zwei neue Nachrichten an. Ich schreibe ihm zurück. Dann öffne ich die neue WhatsApp-Nachricht. Verena Bormann. Ich kenne keine Verena Bormann."
"Highlight (Yellow)","Page 51","","Ich habe diesem blöden Idioten bestimmt schon tausendmal gesagt, dass er meine Nummer nicht weitergeben soll. Aber er macht es immer wieder."
"Highlight (Yellow)","Page 51","","Ich lösche Verenas Nachricht, ohne weiter darüber nachzudenken."
"Highlight (Yellow)","Page 51","","Sie weiß es nicht, aber ich tue ihr einen Gefallen damit."
"Highlight (Yellow)","Page 51","","Ich wünschte, ich hätte ihr nie zurückgeschrieben."
"Highlight (Yellow)","Page 51","","ihre Haare sind offen und zerzaust. Würde sie mir etwas bedeuten, wäre das ein schöner Anblick. Aber das Einzige, was ich sehe, ist, dass sie an meinen Schrank gegangen ist, ohne mich zu fragen."
"Highlight (Yellow)","Page 52","","»Hab ich was falsch gemacht?«"
"Highlight (Yellow)","Page 52","","Warum sind Mädchen so? Warum?"
"Highlight (Yellow)","Page 52","","»ich bin bloß müde.«"
"Highlight (Yellow)","Page 52","","»Wäre es dir lieber, wenn ich gehe?«"
"Highlight (Yellow)","Page 52","","abschätzig."
"Highlight (Yellow)","Page 52","","Sie schluckt auf die Art, wie man Tränen schluckt."
"Highlight (Yellow)","Page 52","","Schwer und laut. An einem Kloß vorbei. Ich wusste, dass sie das nicht hören wollte. Sie wollte, dass meine Lüge die Wahrheit ist."
"Highlight (Yellow)","Page 52","","Dass ich will, dass sie bleibt. Evelyn steht barfuß und verletzlich vor mir. Mit nackten Beinen und einem Blick, der mir bestimmt zusetzen würde, wenn ich in sie verliebt wäre."
"Highlight (Yellow)","Page 52","","Manchmal weiß ich nicht, ob ich ein Arschloch bin, weil ich will, dass sie geht, oder ob sie dumm ist, weil sie immer wieder kommt? Warum denken Mädchen immer, dass sie einen retten müssen?"
"Highlight (Yellow)","Page 53","","Dass sie das, was in einem kaputtgegangen ist, mit genug Liebe wiedergutmachen können?"
"Highlight (Yellow)","Page 53","","»Wie gesagt,"
"Highlight (Yellow)","Page 53","","»Es ist spät«, entgegne ich."
"Highlight (Yellow)","Page 53","","So froh, dass ich sie nicht mal darum bitte, das T-Shirt auszuziehen. Sie kann es behalten."
"Highlight (Yellow)","Page 54","","Wenn ich noch da wäre, würde ich uns jetzt eine heiße Schokolade machen und dich ganz fest umarmen."
"Highlight (Yellow)","Page 54","","du hast jedes Recht dazu."
"Highlight (Yellow)","Page 54","","Was ich getan habe, war verdammt selbstsüchtig."
"Highlight (Yellow)","Page 54","","Und es ist okay, dass ein Teil von dir mich dafür hasst."
"Highlight (Yellow)","Page 54","","Dafür hätte ich anders sein müssen. Mehr wie du und weniger wie ich."
"Highlight (Yellow)","Page 54","","Aber ich bin nicht wie du, Lise. Ich bin von allem zu viel. Zu traurig, zu laut, zu jähzornig, zu müde – und zu einsam."
"Highlight (Yellow)","Page 55","","An manchen Tagen war die Welt so bunt und grell, dass ich sie kaum ertragen habe, und dann, gefühlt einen Wimpernschlag später, gab es plötzlich gar keine Farben mehr."
"Highlight (Yellow)","Page 55","","Kein Licht. Nichts als Dunkelheit."
"Highlight (Yellow)","Page 55","","Ich war betäubt, als wäre ich in mir selbst eingesperrt. Schwarz und Grau und dazwischen irgendwo ich."
"Highlight (Yellow)","Page 55","","kann. Und dann war ich wieder unbesiegbar. Großartig und so viel klüger als alle anderen."
"Highlight (Yellow)","Page 55","","Du hast keine Vorstellung, wie oft du mir das Leben gerettet hast."
"Highlight (Yellow)","Page 55","","Jede Seite von mir."
"Highlight (Yellow)","Page 55","","Ich wünschte, ich hätte dir mich ersparen können."
"Highlight (Yellow)","Page 55","","abgehauen"
"Highlight (Yellow)","Page 55","","ausfallend."
"Highlight (Yellow)","Page 55","","Ich bin nicht der Mensch, den die Medikamente aus mir machen."
"Highlight (Yellow)","Page 55","","Mein echtes Ich ist der Welt zu viel, und mein ruhig gestelltes ist mir zu wenig. Ich fühle mich hier nicht sicher. Ich fühle mich, als wäre ich nicht echt. Nicht Ich. Und nicht genug. Deswegen wähle ich das Ende."
"Highlight (Yellow)","Page 55","","Aber bevor ich den entscheidenden letzten Schritt mache, muss ich wissen, dass es dir ohne mich gut gehen wird. Und glaub mir, das wird es."
"Highlight (Yellow)","Page 56","","Ohne Tabletten, die mich weich im Kopf machen."
"Highlight (Yellow)","Page 56","","Ich gehe davon aus, dass du es seit Tag X nicht mehr betreten hast. Aber es ist nur ein Zimmer, Lise. Kein böser Geist. Und demzufolge gibt es auch keinen Grund, Angst davor zu haben."
"Note","Page 56","","Dude.."
